name,headline,current_title,current_company,skills,location,years_experience,currently_open_to_work,github_handle,profile_url,certifications,open_source_contributor,volunteer_experience,education_level
Candidate-0163,SummaryForward-thinking Project Management Professional confident in predictive and hybrid approach. Fluent in identifying and mitigating ri,,,go,,,,,,,,,
Candidate-0164,Professional SummaryDedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success.,,,go,,10.0,,,,,,,Associate
Candidate-0165,"Professional SummaryI have a proven ability to establish high levels of credibility and positive rapport with partners, senior administrativ",,,excel;go,,,,,,,,,
Candidate-0166,Professional SummaryHighly qualified Electronics Engineering Technician with training and experience in electrical and mechanical systems. D,,,excel;git;go;python,,,,,,,,,BS
Candidate-0167,"SummaryHonest, reliable, dependable, hardworking, quick learner, enthusiastic, motivated individual with strong work ethics, who is results",,,aws;excel;go,,,,,,,,,MS
Candidate-0168,"SummaryExcellent communication, interpersonal, intuitive and leadership skills.  Experienced in Reporting and Data Analytics.  Computer prof",,,aws;excel;go;sql,,,,,,,,,MS
Candidate-0169,"Career Overview4 years of dedicated work experience in Software Quality Assurance, in Manual Testing, Functional - Testing, Smoke Testing, R",,,java;javascript;linux;mysql;rails;sql,,4.0,,,,,,,BS
Candidate-0170,"ProfileLogical Data Analyst, skilled in eliciting and documenting data projects, requirement analysis, database management and generating in",,,azure;excel;go;sql;tableau,,5.0,,,,,,,MS
Candidate-0171,"SummaryQuality-focused Data Entry Clerk experienced in data processing, coding and transcription. Skilled at entering data quickly with stro",,,excel;git;go;python;spark,,,,,,,,,
Candidate-0172,"Professional SummaryTo obtain a full time opportunity in the area of Information Systems, Database and Business  Administration, Managing bu",,,aws;excel;go;sql;tableau,,6.0,,,,,,,MS
Candidate-0173,"Experience10/2019to06/2019Data AnalystAngi Homeservices Inc.–Rockledge,FL,Built an end to end analytics-based solution for animal shelters t",,,aws;excel;flask;go;machine learning;mongodb;python;spark;sql;tableau,,5.0,,,,,,,
Candidate-0174,Professional SummaryHighly regarded self-starter with a masters degree in computer science. Offering more than 5 years as a software enginee,,,excel;go;sql,,5.0,,,,,,,MS
Candidate-0175,"Career OverviewExperienced Data Analyst with extensive skill in Data Modelling, Analysis, and Reporting using SSMS, SSRS, Crystal  Reports,",,,excel,,,,,,,,,
Candidate-0176,"SummaryMotivated accounting professional focused on maintaining accurate, compliant records and controls. Detail-oriented, trustworthy, and",,,excel;go,,,,,,,,,BS
Candidate-0177,Professional SummaryTo achieve a responsible position that gives me a chance to apply my innovative skills and knowledge. I aim to be a valu,,,c++;git;go;java,,,,,,,,,MS
Candidate-0178,Career OverviewHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track,,,c#;go;java;javascript,,,,,,,,,Associate
Candidate-0179,Professional SummaryMeticulous and detail-oriented Executive Assistant/Office Administrator adept at implementing innovative practices and p,,,excel;go,,,,,,,,,
Candidate-0180,"SummaryProactive BI Developer/Data Analyst with Master’s in Computer Science and 7+ years of extensive IT experience in Design, Development",,,aws;excel;go;java;postgres;python;salesforce;sql;tableau,,7.0,,,,,,,MS
Candidate-0181,"HighlightsProficient inObjective - CJavaC/C++Prior experienced inJavaScriptHTMLPHP EducationMaster of Science:Computer Science,Expected in20",,,c++;java;javascript;sql,,,,,,,,,BS
Candidate-0182,SummaryWe are responsible for ensuring all information entered into the systems of record (AFS) is accurate and complete for all loan applic,,,aws;excel;go;react,,7.0,,,,,,,Associate
Candidate-0183,"SummarySenior Software Engineer with 6+ years in analysis, design, development, testing and implementation of various Internet-based applica",,,azure;c#;excel;git;go;java;javascript;sql,,6.0,,,,,,,MS
Candidate-0184,"SummaryVersatile, dedicated, problem-solving, customer focused. HighlightsConcepts: Agile Methodology, Embedded, Multithreading, OOA/OOD (UM",,,c#;c++;go;java;javascript;linux,,,,,,,,,BS
Candidate-0185,Professional SummaryTo achieve a responsible position that gives me a chance to apply my innovative skills and knowledge. I aim to be a valu,,,c++;git;go;java,,,,,,,,,MS
Candidate-0186,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,c++;go;python,,,,,,,,,MS
Candidate-0187,"ProfileDedicated [job title] with excellent technical, analytical and communication skills demonstrated by [number] years of experience.Expe",,,excel;go,,20.0,,,,,,,
Candidate-0188,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,angular;c#;c++;go;java;javascript;linux;postgres;postgresql;rest api;sql,,,,,,,,,MS
Candidate-0189,SummaryISTQB certified QA Test Analyst/Payments SME with 8 years of experience in Testing of programs related to Banking and Finance (BFS) P,,,excel;go;sql,,8.0,,,,,,,MS
Candidate-0190,"SummaryJessica, is highly skilled, accomplished IT software developer with strong experience in software design, development and implementat",,,aws;git;go;java;javascript;jenkins;mysql;python;rest api;spring;sql,,,,,,,,,
Candidate-0191,Professional SummaryCommitted and motivated Administrative Assistant with exceptional customer service and decision making skills. Strong wo,,,excel;go,,,,,,,,,
Candidate-0192,"SummaryA senior software engineer with over 17 years of experience in software systems analysis and applications/tools development, in Finan",,,c++;git;java;linux;spring;sql,,17.0,,,,,,,MS
Candidate-0193,"Career OverviewDedicated, personable, and motivated secretary/customer service representative. My focus is to maintain customer satisfaction",,,excel;go,,,,,,,,,
Candidate-0194,"SummarySelf-directed, professional with over ten years experience in managing company administrative and operational needs.Detail oriented w",,,excel;go,,,,,,,,,MS
Candidate-0195,SummarySoftware development in an environment that provides a variety of challenges and growth opportunities while making strong contributio,,,c#;c++;go;java;sql,,,,,,,,,MS
Candidate-0196,"SummaryProactive, results-oriented, and vision-driven professional with more than 7years of experience. Demonstrates exceptional leadership",,,go,,7.0,,,,,,,
Candidate-0197,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,go;java,,,,,,,,,Associate
Candidate-0198,"Professional SummaryI have a proven ability to establish high levels of credibility and positive rapport with partners, senior administrativ",,,excel;go,,,,,,,,,
Candidate-0199,Professional SummaryMeticulous and detail-oriented Executive Assistant/Office Administrator adept at implementing innovative practices and p,,,excel;go,,,,,,,,,
Candidate-0200,SummaryDegreed accountant with more than 10 years of diversified accounting experience seeking accounting position at a well-established com,,,excel;go,,10.0,,,,,,,MS
Candidate-0201,"Professional SummaryHighly skilled software development professional bringing more than 4 years in software design, development and integrat",,,angular;docker;gcp;git;go;google cloud;java;javascript;k8s;microservices;mongodb;node.js;postgres;postgresql;python;react;redis;spring;sql;tableau;tensorflow;typescript,,4.0,,,,,,,BS
Candidate-0202,SummaryInnovative Accountant proficient in extracting financial data from various reporting systems and suggesting key operational changes.,,,excel;go,,,,,,,,,MS
Candidate-0203,"SummaryDedi100 Montgomery St. 10th Floorted Health 100 Montgomery St. 10th Floorre Administrator at improving team productivity, policies, c",,,excel;go;tableau,,,,,,,,,
Candidate-0204,SummaryVersatile finance and accounting professional with 15 years of experience and proficiencies in financial reporting and analysis. Well,,,aws;git,,15.0,,,,,,,Associate
Candidate-0205,"Experience11/2017toCurrentElectrical EngineerGeneral Electric–Bakersfield,CA,Assist with the development of custom electrical control system",,,c++;git,,,,,,,,,
Candidate-0206,ProfileHas a Master’s of Science Degree in Management Information Systems with Business Intelligence Concentration.Has  5+  years of experie,,,amazon web services;azure;excel;java;javascript;mysql;sql;tableau,,5.0,,,,,,,MS
Candidate-0207,"Professional SummaryRELATED KNOWLEDGE AND SKILLS Advanced knowledge of SQL, MS Excel, machine learning ,tableau , technical writing and data",,,excel;go;machine learning;sql;tableau,,,,,,,,,MS
Candidate-0208,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,git;go;mongodb;mysql;node.js;python;salesforce;scikit-learn;sql,,,,,,,,,Associate
Candidate-0209,Professional SummaryTo achieve a responsible position that gives me a chance to apply my innovative skills and knowledge. I aim to be a valu,,,c++;git;go;java,,,,,,,,,MS
Candidate-0210,Professional SummaryHealthcare Informatics Specialist professional with experience managing enterprise implementations of healthcare informa,,,excel;go,,,,,,,,,MS
Candidate-0211,"SummaryHuman Resources Professional with 11-year background in SAPHR experience (emphasis on employee, organizational, and payroll data), an",,,excel;go,,,,,,,,,
Candidate-0212,SummaryDetail oriented and team focused epidemiologist with 8 years of experience working as an epidemiologist and statistician for public h,,,excel;sql;tableau,,8.0,,,,,,,PhD
Candidate-0213,"Career OverviewSeeking to secure a position in a Field Engineer atmosphere in which advancement opportunities, a stimulating environment, an",,,excel;go,,,,,,,,,MS
Candidate-0214,Professional SummaryTo obtain a challenging position in a dynamic atmosphere where my hard work and capabilities can efficiently utilized to,,,excel;go;java;javascript;jenkins;sql,,7.0,,,,,,,MS
Candidate-0215,"Professional SummaryTo obtain a full time opportunity in the area of Information Systems, Database and Business  Administration, Managing bu",,,aws;excel;go;sql;tableau,,6.0,,,,,,,MS
Candidate-0216,"SummaryQuality Assurance - Analyst9+ years Tandem based testing/implementation exposure. Talented in analysis, issue resolving and testing n",,,go,,9.0,,,,,,,Associate
Candidate-0217,"SummaryVersatile professional looking to transition into the Educational Field as a Teacher Assistant, from a career as a Records and Data C",,,excel;go,,,,,,,,,MS
Candidate-0218,Professional SummarySoftware development director with 17+ years of experience. Hands on development and team lead experience in delivering/,,,c#;c++;ci/cd;go;java;jenkins;linux;mongodb;mysql;python;rest api;ruby;sql,,17.0,,,,,,,MS
Candidate-0219,"Experience05/2017toPresentPro Customer Experience Technician/ Data AnalystQuantitech–,,H1B Visa Application Data Analysis using R          S",,,go;java;javascript;machine learning;mysql;postgres;postgresql;spring;sql;tableau,,5.0,,,,,,,
Candidate-0220,"ProfileProfessional and dedicated worker, committed to delivering high quality performance and superior customer service to insure team succ",,,go;kafka;linux;sql,,8.0,,,,,,,
Candidate-0221,Career FocusAccomplished and results oriented Investment professional with strong leadership and interpersonal skills who adds energy and va,,,excel;go,,,,,,,,,MS
Candidate-0222,"SummaryDetail-oriented and highly organized individual seeking a full-time, accounting position to utilize and apply my educational skills a",,,excel;go,,,,,,,,,BS
Candidate-0223,"SummaryDedi100 Montgomery St. 10th Floorted Health 100 Montgomery St. 10th Floorre Administrator at improving team productivity, policies, c",,,excel;go;tableau,,,,,,,,,
Candidate-0224,SummaryProfessional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analyti,,,aws;go,,,,,,,,,BS
Candidate-0225,Career OverviewTechnically-advanced information technology specialist successful in software administration and data communications. Qualifi,,,c++;excel;git;go;java;javascript;linux;sql,,,,,,,,,MS
Candidate-0226,Professional ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,c#;c++;docker;git;go;hadoop;java;javascript;jenkins;mongodb;mysql;sql,,,,,,,,,Associate
Candidate-0227,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,go;java;javascript;rest api;sql,,80.0,,,,,,,Associate
Candidate-0228,SummaryDynamic and motivated IT professional with around 7 years of experience as a Big Data Engineer with expertise in designing data inten,,,aws;azure;c++;ci/cd;django;docker;excel;git;go;google cloud;hadoop;java;jenkins;kafka;kubernetes;linux;machine learning;mongodb;mysql;postgres;postgresql;python;spark;sql;tableau;terraform,,7.0,,,,,,,MS
Candidate-0229,"SummaryA passionate researcher and learner with ten years of experience supporting IT activities, analyzing data translating long-term and s",,,aws;excel;go;mysql;sql;tableau,,,,,,,,,MS
Candidate-0230,Career OverviewMerrimack College Alumnus possessing a strong aptitude and interest in topics of Mathematics and Finance. Currently employed,,,c#;c++;sql,,,,,,,,,BS
Candidate-0231,"SummaryJessica, is highly skilled, accomplished IT software developer with strong experience in software design, development and implementat",,,aws;git;go;java;javascript;jenkins;mysql;python;rest api;spring;sql,,,,,,,,,
Candidate-0232,"Career OverviewClients/Employers: Thompson Reuters Health Care (Truven Health Analytics), Blue Cross-Blue Shield Michigan, Microsoft, Wayne",,,c#;excel;go;linux;sql,,,,,,,,,MS
Candidate-0233,"SummarySenior IT Professional with over 20 years of relevant IT experience, including years of experience as a Manager and Team Lead Involve",,,excel;go;java;javascript;machine learning;mysql;python;sql;tableau,,20.0,,,,,,,MS
Candidate-0234,"Professional SummaryHighly analytical, results-driven accounting specialist who works quickly and accurately under tight deadlines. Extensiv",,,redis,,,,,,,,,
Candidate-0235,Career OverviewSeeking a job where I can effectively utilize my academic knowledge and learn new skills to continually enhance the developme,,,c#;excel;git;go;sql,,,,,,,,,MS
Candidate-0236,"SummarySkilled and technically qualified Java developer with 7+ years of IT industry experience, building web, stand-alone and mobile applic",,,angular;aws;git;go;java;javascript;linux;mongodb;mysql;python;spark;spring;sql,,7.0,,,,,,,
Candidate-0237,"SummaryStrategic leader focused on advancing technology, processes, and data insights. Extensive experience (18 years) in end to end project",,,go,,18.0,,,,,,,BS
Candidate-0238,"Professional SummaryExperienced Analyst seeking opportunity to serve and contribute to the growth and success of your company, utilizing my",,,excel;go;tableau,,,,,,,,,
Candidate-0239,"SummaryDetail-oriented and highly organized individual seeking a full-time, accounting position to utilize and apply my educational skills a",,,excel;go,,,,,,,,,BS
Candidate-0240,ProfileI am seeking to work in a interesting and diverse networking environment to display my networking skills. Professional ExperienceNetw,,,c++;excel;java,,,,,,,,,
Candidate-0241,"Professional BackgroundAnalyst versed in data analysis and reporting, user acceptance testing, as well as solving complex problems in high-p",,,excel;go;sql;tableau,,,,,,,,,MS
Candidate-0242,"SummaryReceived academic training and my professional performance have allowed me to build a life characterized by ethics, responsibility, r",,,c++;go,,15.0,,,,,,,
Candidate-0243,"SummaryExperienced Tableau Engineer with critical analytical& statistical knowledge in developing Tableau Dash Boards, Performance Tune and",,,angular;c#;c++;excel;go;java;javascript;linux;python;rest api;sql;tableau,,,,,,,,,MS
Candidate-0244,"SummaryI am seeking a position wherein I may use my proven development, technical, and analytical skills while having the opportunity to con",,,c#;excel;go;java;javascript;sql,,17.0,,,,,,,MS
Candidate-0245,Professional SummaryTalented leader and attorney by trade with analytical approach to business planning and day-to-day problem-solving. Indu,,,aws;go,,7.0,,,,,,,
Candidate-0246,"SummaryTo obtain a challenging and rewarding accounting position that will permit the use of my skills, knowledge and education to maximize",,,go,,,,,,,,,Associate
Candidate-0247,"Professional SummaryEnthusiastic computer engineer eager to contribute to team success through hard work, attention to detail and excellent",,,c#;excel;flask;go;java;javascript;mongodb;node.js;pandas;python;react;scikit-learn;sql;tableau;tensorflow,,5.0,,,,,,,MS
Candidate-0248,"Professional SummarySenior QA/Test Engineer with full system development lifecycle experience, including designing, developing, and implemen",,,excel;go,,,,,,,,,MS
Candidate-0249,Professional SummaryExperienced Information Technology professional; Key strengths include but not limited to systems support in health data,,,aws;excel;java;linux,,,,,,,,,MS
Candidate-0250,Career OverviewMerrimack College Alumnus possessing a strong aptitude and interest in topics of Mathematics and Finance. Currently employed,,,c#;c++;sql,,,,,,,,,BS
Candidate-0251,SummaryDiligent and driven Analyst who has achieved success in a variety of roles with increasing levels of responsibility. An effective com,,,excel;go;hadoop;sql,,,,,,,,,MS
Candidate-0252,"SummaryReceived academic training and my professional performance have allowed me to build a life characterized by ethics, responsibility, r",,,c++;go,,15.0,,,,,,,
Candidate-0253,SummarySeasoned Data Entry Operator with 5 years of experience building and maintaining electronic databases. Received and reviewed new writ,,,aws;go,,5.0,,,,,,,MS
Candidate-0254,"Professional SummaryTest Automation Manager/Architectwith excellent employee development, customer service and analytics skills coupled with",,,angular;c#;ci/cd;docker;excel;git;go;hadoop;java;javascript;jenkins;kafka;kubernetes;machine learning;python;react;sql,,11.0,,,,,,,MS
Candidate-0255,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,aws;docker;go;java;javascript;jenkins;kafka;kubernetes;machine learning;postgres;python;salesforce;spark,,,,,,,,,Associate
Candidate-0256,"Summary➢ Over twelve (12) years of experience in the Automotive industry with expertise in Controls Systems, Application Development, Manufa",,,c++;excel;go;sql,,,,,,,,,MS
Candidate-0257,"SummaryHonest, reliable, dependable, hardworking, quick learner, enthusiastic, motivated individual with strong work ethics, who is results",,,aws;excel;go,,,,,,,,,MS
Candidate-0258,Professional SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,excel;go,,,,,,,,,Associate
Candidate-0259,"SummaryHighly organized, detail-oriented, and motivated professional with a proven track record of success in various roles, including Accou",,,aws;excel;go,,,,,,,,,
Candidate-0260,"SummaryManager, Accountant, Project and Safety Manager Results driven, self motivated professional with solid experience in program developm",,,go,,,,,,,,,
Candidate-0261,"SummaryOracle Certified Associate, Java SE 8 Programmer, secured 92%          Designing, developing mobile/web apps; full-stack developer",,,azure;c#;c++;git;go;hadoop;java;javascript;linux;machine learning;mysql;sql;typescript,,3.0,,,,,,,Associate
Candidate-0262,"SummarySoftware Developer with overall 3+ years of experience in the development of Web & Enterprise applications using Java, JavaScript, HT",,,angular;git;go;java;javascript;mongodb;mysql;python;spring;sql;tableau,,3.0,,,,,,,
Candidate-0263,"Summary•Responsible for technical support of mature electronic products currently in production, Contract Manufacture and FAA approve repair",,,c++;git;go,,,,,,,,,MS
Candidate-0264,SummaryTo participate as a team member in a dynamic work environment focused on promoting business growth and building University popularity,,,excel;go,,,,,,,,,
Candidate-0265,Career OverviewHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track,,,c#;go;java;javascript,,,,,,,,,Associate
Candidate-0266,"SummaryOracle Certified Associate, Java SE 8 Programmer, secured 92%          Designing, developing mobile/web apps; full-stack developer",,,azure;c#;c++;git;go;hadoop;java;javascript;linux;machine learning;mysql;sql;typescript,,3.0,,,,,,,Associate
Candidate-0267,SummaryForward-thinking Project Management Professional confident in predictive and hybrid approach. Fluent in identifying and mitigating ri,,,go,,,,,,,,,
Candidate-0268,"SummarySecretarial, Receptionist, Customer Service, Office Support, Data Entry/Transcriber, 10,000 KS, MSWord 2007, MSOffice, Excel, PowerPo",,,excel;go,,,,,,,,,MS
Candidate-0269,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,aws;docker;go;java;javascript;jenkins;kafka;kubernetes;machine learning;postgres;python;salesforce;spark,,,,,,,,,BS
Candidate-0270,SummaryInnovative Accountant proficient in extracting financial data from various reporting systems and suggesting key operational changes.,,,excel;go,,,,,,,,,MS
Candidate-0271,Professional SummaryMulti-faceted Financial Professional with solid and progressive experience in all facets of accounting and financial man,,,aws;excel;git;go,,,,,,,,,
Candidate-0272,"SummaryHonest, reliable, dependable, hardworking, quick learner, enthusiastic, motivated individual with strong work ethics, who is results",,,aws;excel;go,,,,,,,,,MS
Candidate-0273,"Summary""Hands on"" , self-motivated technology architect with over 10 years of experience ,deep programming acumen and the ability to rapidly",,,c#;c++;go;java;sql,,10.0,,,,,,,
Candidate-0274,ProfileSoftware Test Engineer with two years of experience and a recent Computer Information Systems degree. Earned a reputation as a hard w,,,aws;c#;c++;excel;go;java;javascript;sql,,,,,,,,,
Candidate-0275,SummaryDetail oriented and team focused epidemiologist with 8 years of experience working as an epidemiologist and statistician for public h,,,excel;sql;tableau,,8.0,,,,,,,PhD
Candidate-0276,SummaryJourneyman Electrician offering 20 years of progressively advanced journey-level electrical experience.Safety-focused Electrician hig,,,excel,,20.0,,,,,,,MS
Candidate-0277,"SummaryVersatile, dedicated, problem-solving, customer focused. HighlightsConcepts: Agile Methodology, Embedded, Multithreading, OOA/OOD (UM",,,c#;c++;go;java;javascript;linux,,,,,,,,,BS
Candidate-0278,SummaryI am a computer engineer with over 12 years of experience dedicated to developing software for different company sizes and needs. I a,,,git;go;sql,,12.0,,,,,,,
Candidate-0279,"Professional SummaryMy objective is to incorporate my degree in biology, 2 years of pharmaceutical CRO experience and more than 3 years of p",,,excel;go,,4.0,,,,,,,
Candidate-0280,Professional SummaryQA TEST ANALYST/ DEVELOPMENT TEST ENGINEER Skilled in Applications Testing and Defect Tracking *Knowledgeable QA/Manual,,,aws;excel;mysql;sql,,4.0,,,,,,,MS
Candidate-0281,Professional SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,excel;git;go;sql,,,,,,,,,PhD
Candidate-0282,"Summary7+ years of experience as a BI developer with a proven track record in Business Intelligence (BI), Data Warehouse (DWH) and Data Anal",,,azure;c#;excel;go;salesforce;sql,,7.0,,,,,,,MS
Candidate-0283,"SummaryQuality Assurance - Analyst9+ years Tandem based testing/implementation exposure. Talented in analysis, issue resolving and testing n",,,go,,9.0,,,,,,,Associate
Candidate-0284,"SummarySeeking an Accountant position that utilizes my technical skills and experience to support accounting operations, and to ensure the c",,,excel;go,,,,,,,,,MS
Candidate-0285,"SummaryManager, Accountant, Project and Safety Manager Results driven, self motivated professional with solid experience in program developm",,,go,,,,,,,,,
Candidate-0286,"SummaryFinancial Accountant specializing in financial planning, reporting and analysis in both private and public sectors.Well-informed acco",,,excel;go,,,,,,,,,BS
Candidate-0287,"SummarySkilled in high profile account management; knowledgeable in team building, oral and written presentation, and interpersonal communic",,,git;go;salesforce,,,,,,,,,Associate
Candidate-0288,"Professional SummaryRELATED KNOWLEDGE AND SKILLS Advanced knowledge of SQL, MS Excel, machine learning ,tableau , technical writing and data",,,excel;go;machine learning;sql;tableau,,,,,,,,,MS
Candidate-0289,"SummaryResults-oriented college graduate with a Bachelor of Science (B.S.) in Electrical Engineering, with 2 years of work experience. Aimin",,,c++;excel;git;go;java;spring,,2.0,,,,,,,BS
Candidate-0290,"Professional SummaryDedicated with background in Customer Service, Research and Administrative and Clerical representative with motivation t",,,excel;go;salesforce,,,,,,,,,MS
Candidate-0291,"SummarySeasoned Data Architect adept at understanding mandates, developing plans and implementing enterprise-wide solutions. Complex problem",,,azure;go;salesforce;sql,,,,,,,,,
Candidate-0292,SummaryISTQB certified QA Test Analyst/Payments SME with 8 years of experience in Testing of programs related to Banking and Finance (BFS) P,,,excel;go;sql,,8.0,,,,,,,MS
Candidate-0293,ProfileSeeking a challenging position in your company where my career skills and Abilities can be demonstrated and developed. Professional T,,,excel;go,,,,,,,,,
Candidate-0294,QUALIFICATIONS•   Over two years' experience of data analysis at Loyola Chicago University; providing statistical analysis plan and generati,,,excel;go;sql,,,,,,,,,MS
Candidate-0295,"SummaryA passionate researcher and learner with ten years of experience supporting IT activities, analyzing data translating long-term and s",,,aws;excel;go;mysql;sql;tableau,,,,,,,,,MS
Candidate-0296,"Professional SummaryA senior technical leader with hands-on leadership skills, a team player who works in synergy with staff and peers, exce",,,excel;go;mysql;python;sql,,,,,,,,,MS
Candidate-0297,"Summary7+ years of experience as a BI developer with a proven track record in Business Intelligence (BI), Data Warehouse (DWH) and Data Anal",,,azure;c#;excel;go;salesforce;sql,,7.0,,,,,,,MS
Candidate-0298,Executive ProfileExperienced business executive with demonstrated success in managing P&L and growing new business through innovative growth,,,excel;git;go;salesforce,,,,,,,,,
Candidate-0299,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,angular;c#;c++;go;java;javascript;linux;postgres;postgresql;rest api;sql,,,,,,,,,MS
Candidate-0300,Professional ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,go,,,,,,,,,Associate
